Lux,Temperatuur,Luchtvochtigheid,Acceptabel
Geen,VeelLaag,VeelLaag,Nee
Geen,VeelLaag,WeinigLaag,Nee
Geen,VeelLaag,Geen,Nee
Geen,VeelLaag,WeinigHoog,Nee
Geen,VeelLaag,VeelHoog,Nee
Geen,WeinigLaag,VeelLaag,Nee
Geen,WeinigLaag,WeinigLaag,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,VeelHoog,Nee
Geen,Geen,VeelLaag,Nee
Geen,Geen,WeinigLaag,Ja
Geen,Geen,Geen,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,VeelHoog,Nee
Geen,WeinigHoog,VeelLaag,Nee
Geen,WeinigHoog,WeinigLaag,Ja
Geen,WeinigHoog,Geen,Ja
Geen,WeinigHoog,WeinigHoog,Ja
Geen,WeinigHoog,VeelHoog,Nee
Geen,VeelHoog,VeelLaag,Nee
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelHoog,Geen,Nee
Geen,VeelHoog,WeinigHoog,Nee
Geen,VeelHoog,VeelHoog,Nee
WeinigHoog,VeelLaag,VeelLaag,Nee
WeinigHoog,VeelLaag,WeinigLaag,Nee
WeinigHoog,VeelLaag,Geen,Nee
WeinigHoog,VeelLaag,WeinigHoog,Nee
WeinigHoog,VeelLaag,VeelHoog,Nee
WeinigHoog,WeinigLaag,VeelLaag,Nee
WeinigHoog,WeinigLaag,WeinigLaag,Ja
WeinigHoog,WeinigLaag,Geen,Ja
WeinigHoog,WeinigLaag,WeinigHoog,Ja
WeinigHoog,WeinigLaag,VeelHoog,Nee
WeinigHoog,Geen,VeelLaag,Nee
WeinigHoog,Geen,WeinigLaag,Ja
WeinigHoog,Geen,Geen,Ja
WeinigHoog,Geen,WeinigHoog,Ja
WeinigHoog,Geen,VeelHoog,Nee
WeinigHoog,WeinigHoog,VeelLaag,Nee
WeinigHoog,WeinigHoog,WeinigLaag,Ja
WeinigHoog,WeinigHoog,Geen,Ja
WeinigHoog,WeinigHoog,WeinigHoog,Ja
WeinigHoog,WeinigHoog,VeelHoog,Nee
WeinigHoog,VeelHoog,VeelLaag,Nee
WeinigHoog,VeelHoog,WeinigLaag,Nee
WeinigHoog,VeelHoog,Geen,Nee
WeinigHoog,VeelHoog,WeinigHoog,Nee
WeinigHoog,VeelHoog,VeelHoog,Nee
VeelHoog,VeelLaag,VeelLaag,Nee
VeelHoog,VeelLaag,WeinigLaag,Nee
VeelHoog,VeelLaag,Geen,Nee
VeelHoog,VeelLaag,WeinigHoog,Nee
VeelHoog,VeelLaag,VeelHoog,Nee
VeelHoog,WeinigLaag,VeelLaag,Nee
VeelHoog,WeinigLaag,WeinigLaag,Nee
VeelHoog,WeinigLaag,Geen,Nee
VeelHoog,WeinigLaag,WeinigHoog,Nee
VeelHoog,WeinigLaag,VeelHoog,Nee
VeelHoog,Geen,VeelLaag,Nee
VeelHoog,Geen,WeinigLaag,Nee
VeelHoog,Geen,Geen,Nee
VeelHoog,Geen,WeinigHoog,Nee
VeelHoog,Geen,VeelHoog,Nee
VeelHoog,WeinigHoog,VeelLaag,Nee
VeelHoog,WeinigHoog,WeinigLaag,Nee
VeelHoog,WeinigHoog,Geen,Nee
VeelHoog,WeinigHoog,WeinigHoog,Nee
VeelHoog,WeinigHoog,VeelHoog,Nee
VeelHoog,VeelHoog,VeelLaag,Nee
VeelHoog,VeelHoog,WeinigLaag,Nee
VeelHoog,VeelHoog,Geen,Nee
VeelHoog,VeelHoog,WeinigHoog,Nee
VeelHoog,VeelHoog,VeelHoog,Nee
